timeStep pedestrianId overlapPedestrianId distance-PID3 overlaps-PID3
177 10 14 0.36744198759271934 0.03255801240728068
177 41 71 0.35421762444409405 0.045782375555905974
178 32 43 0.3147717528618469 0.08522824713815313
178 35 79 0.27565856728162025 0.12434143271837977
179 50 56 0.3196693999141943 0.08033060008580573
179 79 84 0.31767299573705327 0.08232700426294676
180 21 38 0.3932065532826964 0.006793446717303642
180 66 82 0.3537549376977508 0.04624506230224923
180 70 84 0.3232072453116708 0.07679275468832925
180 78 79 0.3960254322947621 0.003974567705237908
181 60 63 0.38490552401249967 0.015094475987500355
181 70 79 0.39188866987719084 0.00811133012280918
182 1 9 0.3265508421490136 0.07344915785098644
182 22 28 0.3933949412007999 0.0066050587992001475
182 47 67 0.38156285256915146 0.018437147430848566
182 60 63 0.38490552401249967 0.015094475987500355
182 60 74 0.3919979931521527 0.008002006847847298
182 78 79 0.33167847118031496 0.06832152881968506
183 16 37 0.37692546239570085 0.023074537604299172
183 22 28 0.34696623379324465 0.05303376620675537
183 42 67 0.3186958354981051 0.08130416450189493
183 44 59 0.3976748312446544 0.002325168755345608
183 47 67 0.38156285256915146 0.018437147430848566
183 56 60 0.3385345734801453 0.061465426519854705
184 15 25 0.3475914516971754 0.0524085483028246
184 16 37 0.37692546239570085 0.023074537604299172
184 22 28 0.34696623379324465 0.05303376620675537
184 44 59 0.38442963598245683 0.015570364017543192
185 15 25 0.3475914516971754 0.0524085483028246
185 63 74 0.306148624948124 0.09385137505187602
185 64 80 0.31841543580336273 0.08158456419663729
185 78 79 0.2942486495912134 0.10575135040878664
186 40 44 0.29441444858512456 0.10558555141487547
187 10 14 0.3940199406867279 0.0059800593132721125
187 32 49 0.33396197696783103 0.06603802303216899
187 76 81 0.36946638999479725 0.03053361000520277
188 32 49 0.33396197696783103 0.06603802303216899
189 22 28 0.39666051631174065 0.0033394836882593704
189 36 72 0.39945758773768986 5.424122623101657E-4
189 76 81 0.2830301976291751 0.11696980237082494
190 16 32 0.338426582178523 0.06157341782147702
190 50 60 0.36137575589192367 0.038624244108076355
190 70 78 0.3805772440904343 0.019422755909565714
190 76 81 0.22673600267950011 0.1732639973204999
191 21 24 0.24704813630818903 0.152951863691811
191 56 74 0.39343204811406324 0.006567951885936785
